id,timestamp,circles
20000,1398776770.4155736,[{'idp': 140, 'x': 1.474, 'y': -2.125, 'r': 0.4, 'type': 1}]
20001,1398776770.4556096,[{'idp': 140, 'x': 1.481, 'y': -2.144, 'r': 0.4, 'type': 1}]
20002,1398776770.4625306,[{'idp': 140, 'x': 1.479, 'y': -2.167, 'r': 0.4, 'type': 1}]
20003,1398776770.4996445,[{'idp': 140, 'x': 1.5, 'y': -2.18, 'r': 0.4, 'type': 1}]
20004,1398776770.5396183,[{'idp': 140, 'x': 1.497, 'y': -2.198, 'r': 0.4, 'type': 1}]
20005,1398776770.5396466,[{'idp': 140, 'x': 1.491, 'y': -2.222, 'r': 0.4, 'type': 1}]
20006,1398776770.579626,[{'idp': 140, 'x': 1.503, 'y': -2.23, 'r': 0.4, 'type': 1}]
20007,1398776770.5857346,[{'idp': 140, 'x': 1.501, 'y': -2.254, 'r': 0.4, 'type': 1}]
20008,1398776770.6236007,[{'idp': 140, 'x': 1.513, 'y': -2.26, 'r': 0.4, 'type': 1}]
20009,1398776770.6636252,[{'idp': 140, 'x': 1.52, 'y': -2.279, 'r': 0.4, 'type': 1}]
20010,1398776770.6636548,[{'idp': 140, 'x': 1.529, 'y': -2.302, 'r': 0.4, 'type': 1}]
20011,1398776770.7036257,[{'idp': 140, 'x': 1.526, 'y': -2.347, 'r': 0.4, 'type': 1}]
20012,1398776770.7101414,[{'idp': 140, 'x': 1.523, 'y': -2.374, 'r': 0.4, 'type': 1}]
20013,1398776770.7476256,[{'idp': 140, 'x': 1.527, 'y': -2.4, 'r': 0.4, 'type': 1}]
20014,1398776770.7876105,[{'idp': 140, 'x': 1.532, 'y': -2.418, 'r': 0.4, 'type': 1}]
20015,1398776770.787641,[{'idp': 140, 'x': 1.538, 'y': -2.445, 'r': 0.4, 'type': 1}]
20016,1398776770.8275714,[{'idp': 140, 'x': 1.544, 'y': -2.466, 'r': 0.4, 'type': 1}]
20017,1398776770.8352954,[{'idp': 140, 'x': 1.547, 'y': -2.486, 'r': 0.4, 'type': 1}]
20018,1398776770.8716986,[{'idp': 140, 'x': 1.554, 'y': -2.51, 'r': 0.4, 'type': 1}]
20019,1398776770.9115572,[{'idp': 140, 'x': 1.551, 'y': -2.529, 'r': 0.4, 'type': 1}]
20020,1398776770.9115832,[{'idp': 140, 'x': 1.559, 'y': -2.554, 'r': 0.4, 'type': 1}]
20021,1398776770.951713,[{'idp': 140, 'x': 1.566, 'y': -2.578, 'r': 0.4, 'type': 1}]
20022,1398776770.9600735,[{'idp': 140, 'x': 1.568, 'y': -2.591, 'r': 0.4, 'type': 1}]
20023,1398776770.999656,[{'idp': 140, 'x': 1.584, 'y': -2.606, 'r': 0.4, 'type': 1}]
20024,1398776771.0395563,[{'idp': 140, 'x': 1.596, 'y': -2.612, 'r': 0.4, 'type': 1}]
20025,1398776771.0395863,[{'idp': 140, 'x': 1.601, 'y': -2.619, 'r': 0.4, 'type': 1}]
20026,1398776771.0795968,[{'idp': 140, 'x': 1.615, 'y': -2.63, 'r': 0.4, 'type': 1}]
20027,1398776771.0844598,[{'idp': 140, 'x': 1.622, 'y': -2.641, 'r': 0.4, 'type': 1}]
20028,1398776771.1236153,[{'idp': 140, 'x': 1.626, 'y': -2.648, 'r': 0.4, 'type': 1}]
20029,1398776771.1635952,[{'idp': 140, 'x': 1.635, 'y': -2.662, 'r': 0.4, 'type': 1}]
20030,1398776771.1636252,[{'idp': 140, 'x': 1.649, 'y': -2.686, 'r': 0.4, 'type': 1}]
20031,1398776771.2036445,[{'idp': 140, 'x': 1.667, 'y': -2.727, 'r': 0.4, 'type': 1}]
20032,1398776771.2086537,[{'idp': 140, 'x': 1.686, 'y': -2.772, 'r': 0.4, 'type': 1}]
20033,1398776771.247631,[{'idp': 140, 'x': 1.712, 'y': -2.816, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 2.484, 'y': -5.908, 'r': 0.4, 'type': 1}]
20994,1398776795.1875947,[{'idp': 149, 'x': 0.85, 'y': 3.811, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.662, 'y': 2.998, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.647, 'y': 0.684, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.838, 'y': -1.516, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 2.024, 'y': 3.047, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.393, 'y': 0.37, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.128, 'y': 2.909, 'r': 0.2, 'type': 1}]
20995,1398776795.1931677,[{'idp': 149, 'x': 0.878, 'y': 3.811, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.688, 'y': 2.957, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.656, 'y': 0.662, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.818, 'y': -1.526, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 2.038, 'y': 3.025, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.369, 'y': 0.337, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.132, 'y': 2.905, 'r': 0.2, 'type': 1}]
20996,1398776795.2315953,[{'idp': 149, 'x': 0.91, 'y': 3.792, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.713, 'y': 2.93, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.67, 'y': 0.642, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.795, 'y': -1.542, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 2.049, 'y': 3.014, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.37, 'y': 0.308, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.14, 'y': 2.888, 'r': 0.2, 'type': 1}]
20997,1398776795.271608,[{'idp': 149, 'x': 0.909, 'y': 3.794, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.716, 'y': 2.917, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.671, 'y': 0.624, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.775, 'y': -1.542, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 2.053, 'y': 3.004, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.371, 'y': 0.278, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.153, 'y': 2.874, 'r': 0.2, 'type': 1}]
20998,1398776795.2716408,[{'idp': 149, 'x': 0.919, 'y': 3.79, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.737, 'y': 2.901, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.67, 'y': 0.629, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.762, 'y': -1.561, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 2.045, 'y': 2.978, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.348, 'y': 0.276, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.153, 'y': 2.862, 'r': 0.2, 'type': 1}]
20999,1398776795.311585,[{'idp': 149, 'x': 0.918, 'y': 3.796, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.731, 'y': 2.897, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.665, 'y': 0.616, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.746, 'y': -1.562, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 2.042, 'y': 2.974, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.303, 'y': 0.288, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.147, 'y': 2.854, 'r': 0.2, 'type': 1}]
21000,1398776795.318574,[{'idp': 149, 'x': 0.928, 'y': 3.788, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.748, 'y': 2.88, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.663, 'y': 0.591, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.728, 'y': -1.559, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 2.037, 'y': 2.968, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.27, 'y': 0.293, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.153, 'y': 2.845, 'r': 0.2, 'type': 1}]
21001,1398776795.3555183,[{'idp': 149, 'x': 0.927, 'y': 3.794, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.745, 'y': 2.877, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.667, 'y': 0.587, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.709, 'y': -1.562, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 2.034, 'y': 2.964, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.26, 'y': 0.278, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.161, 'y': 2.839, 'r': 0.2, 'type': 1}]
21002,1398776795.3956265,[{'idp': 149, 'x': 0.922, 'y': 3.792, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.737, 'y': 2.873, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.67, 'y': 0.575, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.693, 'y': -1.562, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 2.023, 'y': 2.947, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.251, 'y': 0.27, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.157, 'y': 2.834, 'r': 0.2, 'type': 1}]
21003,1398776795.3956556,[{'idp': 149, 'x': 0.924, 'y': 3.781, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.752, 'y': 2.882, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.658, 'y': 0.573, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.679, 'y': -1.568, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 2.014, 'y': 2.948, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.253, 'y': 0.263, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.161, 'y': 2.831, 'r': 0.2, 'type': 1}]
21004,1398776795.4356363,[{'idp': 149, 'x': 0.915, 'y': 3.792, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.731, 'y': 2.883, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.658, 'y': 0.573, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.67, 'y': -1.565, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.998, 'y': 2.966, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.254, 'y': 0.255, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.161, 'y': 2.827, 'r': 0.2, 'type': 1}]
21005,1398776795.4419756,[{'idp': 149, 'x': 0.915, 'y': 3.784, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.734, 'y': 2.885, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.66, 'y': 0.573, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.656, 'y': -1.57, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.992, 'y': 2.942, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.233, 'y': 0.254, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.163, 'y': 2.818, 'r': 0.2, 'type': 1}]
21006,1398776795.4796436,[{'idp': 149, 'x': 0.917, 'y': 3.789, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.734, 'y': 2.885, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.66, 'y': 0.574, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.641, 'y': -1.563, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.979, 'y': 2.952, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.228, 'y': 0.247, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.169, 'y': 2.81, 'r': 0.2, 'type': 1}]
21007,1398776795.519588,[{'idp': 149, 'x': 0.886, 'y': 3.8, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.737, 'y': 2.886, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.646, 'y': 0.559, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.628, 'y': -1.569, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.976, 'y': 2.946, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.222, 'y': 0.239, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.182, 'y': 2.802, 'r': 0.2, 'type': 1}]
21008,1398776795.519622,[{'idp': 149, 'x': 0.907, 'y': 3.787, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.744, 'y': 2.877, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.629, 'y': 0.543, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.617, 'y': -1.574, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.958, 'y': 2.948, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.226, 'y': 0.225, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.208, 'y': 2.806, 'r': 0.2, 'type': 1}]
21009,1398776795.559697,[{'idp': 149, 'x': 0.896, 'y': 3.79, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.744, 'y': 2.891, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.62, 'y': 0.541, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.605, 'y': -1.571, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.951, 'y': 2.937, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.214, 'y': 0.224, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.223, 'y': 2.81, 'r': 0.2, 'type': 1}]
21010,1398776795.5680704,[{'idp': 149, 'x': 0.897, 'y': 3.793, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.744, 'y': 2.891, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.581, 'y': 0.508, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.595, 'y': -1.576, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.938, 'y': 2.946, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.216, 'y': 0.217, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.22, 'y': 2.803, 'r': 0.2, 'type': 1}]
21011,1398776795.6076322,[{'idp': 149, 'x': 0.898, 'y': 3.791, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.753, 'y': 2.897, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.54, 'y': 0.494, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.579, 'y': -1.567, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.931, 'y': 2.949, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.211, 'y': 0.217, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.195, 'y': 2.81, 'r': 0.2, 'type': 1}]
21012,1398776795.647548,[{'idp': 149, 'x': 0.901, 'y': 3.796, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.745, 'y': 2.891, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.554, 'y': 0.497, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.571, 'y': -1.565, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.924, 'y': 2.937, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.2, 'y': 0.216, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.188, 'y': 2.8, 'r': 0.2, 'type': 1}]
21013,1398776795.6475766,[{'idp': 149, 'x': 0.893, 'y': 3.799, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.764, 'y': 2.888, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.552, 'y': 0.496, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.56, 'y': -1.578, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.912, 'y': 2.933, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.19, 'y': 0.202, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.185, 'y': 2.796, 'r': 0.2, 'type': 1}]
21014,1398776795.687615,[{'idp': 149, 'x': 0.882, 'y': 3.792, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.768, 'y': 2.891, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.533, 'y': 0.487, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.549, 'y': -1.566, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.904, 'y': 2.935, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.177, 'y': 0.201, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.17, 'y': 2.79, 'r': 0.2, 'type': 1}]
21015,1398776795.690891,[{'idp': 149, 'x': 0.883, 'y': 3.795, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.766, 'y': 2.904, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.56, 'y': 0.492, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.535, 'y': -1.573, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.89, 'y': 2.928, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.158, 'y': 0.193, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.16, 'y': 2.79, 'r': 0.2, 'type': 1}]
21016,1398776795.7276204,[{'idp': 149, 'x': 0.882, 'y': 3.791, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.77, 'y': 2.907, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.557, 'y': 0.492, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.526, 'y': -1.568, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.882, 'y': 2.944, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.148, 'y': 0.192, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.146, 'y': 2.797, 'r': 0.2, 'type': 1}]
21017,1398776795.7676978,[{'idp': 149, 'x': 0.896, 'y': 3.773, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.764, 'y': 2.917, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.564, 'y': 0.486, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.513, 'y': -1.561, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.862, 'y': 2.941, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.131, 'y': 0.184, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.148, 'y': 2.799, 'r': 0.2, 'type': 1}]
21018,1398776795.7677252,[{'idp': 149, 'x': 0.902, 'y': 3.762, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.773, 'y': 2.924, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.57, 'y': 0.482, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.503, 'y': -1.567, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.852, 'y': 2.924, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.127, 'y': 0.177, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.129, 'y': 2.787, 'r': 0.2, 'type': 1}]
21019,1398776795.807669,[{'idp': 149, 'x': 0.912, 'y': 3.768, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.776, 'y': 2.925, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.575, 'y': 0.477, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.488, 'y': -1.568, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.849, 'y': 2.92, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.106, 'y': 0.17, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.121, 'y': 2.79, 'r': 0.2, 'type': 1}]
21020,1398776795.8159163,[{'idp': 149, 'x': 0.933, 'y': 3.746, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.782, 'y': 2.929, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.613, 'y': 0.491, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.475, 'y': -1.574, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.838, 'y': 2.93, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.089, 'y': 0.155, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.106, 'y': 2.783, 'r': 0.2, 'type': 1}]
21021,1398776795.8555863,[{'idp': 149, 'x': 0.916, 'y': 3.749, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.792, 'y': 2.936, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.643, 'y': 0.503, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.466, 'y': -1.591, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.828, 'y': 2.929, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.085, 'y': 0.141, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.096, 'y': 2.782, 'r': 0.2, 'type': 1}]
21022,1398776795.8956304,[{'idp': 149, 'x': 0.911, 'y': 3.726, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.789, 'y': 2.949, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.667, 'y': 0.514, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.449, 'y': -1.575, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.814, 'y': 2.92, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.08, 'y': 0.127, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.082, 'y': 2.788, 'r': 0.2, 'type': 1}]
21023,1398776795.8956585,[{'idp': 149, 'x': 0.916, 'y': 3.707, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.809, 'y': 2.961, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.679, 'y': 0.516, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.44, 'y': -1.568, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.803, 'y': 2.931, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.09, 'y': 0.107, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.074, 'y': 2.791, 'r': 0.2, 'type': 1}]
21024,1398776795.9356127,[{'idp': 149, 'x': 0.895, 'y': 3.693, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.814, 'y': 2.964, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.67, 'y': 0.509, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.428, 'y': -1.563, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.788, 'y': 2.922, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.072, 'y': 0.093, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.054, 'y': 2.776, 'r': 0.2, 'type': 1}]
21025,1398776795.9405882,[{'idp': 149, 'x': 0.909, 'y': 3.714, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.826, 'y': 2.972, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.68, 'y': 0.504, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.42, 'y': -1.573, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.783, 'y': 2.928, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.046, 'y': 0.086, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.059, 'y': 2.782, 'r': 0.2, 'type': 1}]
21026,1398776795.979617,[{'idp': 149, 'x': 0.916, 'y': 3.739, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.831, 'y': 2.975, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.688, 'y': 0.492, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.407, 'y': -1.567, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.776, 'y': 2.93, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.033, 'y': 0.073, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.036, 'y': 2.777, 'r': 0.2, 'type': 1}]
21027,1398776796.0196335,[{'idp': 149, 'x': 0.921, 'y': 3.758, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.844, 'y': 2.984, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.691, 'y': 0.485, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.399, 'y': -1.58, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.763, 'y': 2.923, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.049, 'y': 0.046, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.022, 'y': 2.784, 'r': 0.2, 'type': 1}]
21028,1398776796.0196679,[{'idp': 149, 'x': 0.912, 'y': 3.756, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.86, 'y': 3.009, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.687, 'y': 0.475, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.394, 'y': -1.584, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.749, 'y': 2.929, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.04, 'y': 0.026, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 2.014, 'y': 2.785, 'r': 0.2, 'type': 1}]
21029,1398776796.0596259,[{'idp': 149, 'x': 0.908, 'y': 3.775, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.851, 'y': 3.003, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.697, 'y': 0.469, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.379, 'y': -1.57, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.743, 'y': 2.934, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.016, 'y': 0.026, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 1.981, 'y': 2.787, 'r': 0.2, 'type': 1}]
21030,1398776796.0652225,[{'idp': 149, 'x': 0.911, 'y': 3.786, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.848, 'y': 3.002, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.694, 'y': 0.464, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.373, 'y': -1.576, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.726, 'y': 2.934, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.018, 'y': 0.013, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 1.984, 'y': 2.792, 'r': 0.2, 'type': 1}]
21031,1398776796.1035624,[{'idp': 149, 'x': 0.914, 'y': 3.797, 'r': 0.4, 'type': 1}, {'idp': 150, 'x': 4.851, 'y': 3.004, 'r': 0.4, 'type': 1}, {'idp': 151, 'x': 2.691, 'y': 0.458, 'r': 0.2, 'type': 1}, {'idp': 152, 'x': 0.358, 'y': -1.577, 'r': 0.4, 'type': 1}, {'idp': 154, 'x': 1.72, 'y': 2.924, 'r': 0.2, 'type': 1}, {'idp': 155, 'x': 3.024, 'y': 0.0, 'r': 0.2, 'type': 1}, {'idp': 156, 'x': 1.966, 'y': 2.781, 'r': 0.2, 'type': 1}]
